Project ID,T type sub-class,Avg ISI,F I curve slope
1HEYEW7GMUKWIQW37BO,Vip interneuron,41.26086957,0.513235285
1HEYEW7GMUKWIQW37BO,Sst interneuron,36.768,0.399999992
1HEYEW7GMUKWIQW37BO,Sst interneuron,57.715,0.324999989
1HEYEW7GMUKWIQW37BO,Sst interneuron,49.47,0.282857143
1HEYEW7GMUKWIQW37BO,Sst interneuron,,0.35944057
1HEYEW7GMUKWIQW37BO,Vip interneuron,46.54,0.038709677
1HEYEW7GMUKWIQW37BO,Sst interneuron,63.50857143,0.19
1HEYEW7GMUKWIQW37BO,Sst interneuron,88.83111111,0.179999996
1HEYEW7GMUKWIQW37BO,Sst interneuron,59.00222222,0.365
1HEYEW7GMUKWIQW37BO,Vip interneuron,30.70888889,0.140402842
1HEYEW7GMUKWIQW37BO,Sst interneuron,42.51347826,0.471126164
1HEYEW7GMUKWIQW37BO,Sst interneuron,23.03862069,0.46785711
1HEYEW7GMUKWIQW37BO,Sst interneuron,95.6,0.214655161
1HEYEW7GMUKWIQW37BO,Vip interneuron,6.486666667,0.0106383
1HEYEW7GMUKWIQW37BO,Vip interneuron,36.19,0.06686747
1HEYEW7GMUKWIQW37BO,Vip interneuron,53.21882353,0.254382464
1HEYEW7GMUKWIQW37BO,Sst interneuron,74.42166667,0.300000011
1HEYEW7GMUKWIQW37BO,Vip interneuron,26.09891892,0.545454519
1HEYEW7GMUKWIQW37BO,Sst interneuron,24.11,0.05
1HEYEW7GMUKWIQW37BO,Vip interneuron,101.2466667,0.124299061
1HEYEW7GMUKWIQW37BO,Vip interneuron,77.47,0.033482143
1HEYEW7GMUKWIQW37BO,Sst interneuron,37.13,0.451867972
1HEYEW7GMUKWIQW37BO,Vip interneuron,120.3266667,0.139378043
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.13368421,0.53965516
1HEYEW7GMUKWIQW37BO,Sst interneuron,77.76166667,0.265000008
1HEYEW7GMUKWIQW37BO,Vip interneuron,18.11333333,0.0875
1HEYEW7GMUKWIQW37BO,Vip interneuron,36.94916667,0.48427152
1HEYEW7GMUKWIQW37BO,Sst interneuron,84.85818182,0.212149533
1HEYEW7GMUKWIQW37BO,Sst interneuron,78.46666667,0.34
1HEYEW7GMUKWIQW37BO,Sst interneuron,85.60545455,0.271428571
1HEYEW7GMUKWIQW37BO,Sst interneuron,57.47428571,0.384834117
1HEYEW7GMUKWIQW37BO,Vip interneuron,85.74181818,0.156024089
1HEYEW7GMUKWIQW37BO,Sst interneuron,61.2,0.376315775
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.12,0.297511838
1HEYEW7GMUKWIQW37BO,Sst interneuron,17.17789474,0.276470588
1HEYEW7GMUKWIQW37BO,Sst interneuron,56.5625,0.340000006
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.74,0.041379313
1HEYEW7GMUKWIQW37BO,Sst interneuron,55.82235294,0.247142857
1HEYEW7GMUKWIQW37BO,Vip interneuron,19.3264,-0.095714286
1HEYEW7GMUKWIQW37BO,Vip interneuron,73.24666667,0.254999995
1HEYEW7GMUKWIQW37BO,Vip interneuron,32.654,0.547058806
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.60666667,0.473571429
1HEYEW7GMUKWIQW37BO,Sst interneuron,44.42,0.020689655
1HEYEW7GMUKWIQW37BO,Sst interneuron,79.95636364,0.200000021
1HEYEW7GMUKWIQW37BO,Sst interneuron,51,0.303571457
1HEYEW7GMUKWIQW37BO,Vip interneuron,12.005,0.031396073
1HEYEW7GMUKWIQW37BO,Sst interneuron,22.73428571,0.480694347
1HEYEW7GMUKWIQW37BO,Sst interneuron,51.14,0.0228739
1HEYEW7GMUKWIQW37BO,Sst interneuron,30.6375,0.230555556
1HEYEW7GMUKWIQW37BO,Sst interneuron,45.50307692,0.466981137
1HEYEW7GMUKWIQW37BO,Sst interneuron,67.12461538,0.299285714
1HEYEW7GMUKWIQW37BO,Sst interneuron,35.12,0.035
1HEYEW7GMUKWIQW37BO,Sst interneuron,31.77583333,0.510753595
1HEYEW7GMUKWIQW37BO,Sst interneuron,25.45,0.03552632
1HEYEW7GMUKWIQW37BO,Sst interneuron,112.9866667,0.095287284
1HEYEW7GMUKWIQW37BO,Vip interneuron,27.02,0.057771261
1HEYEW7GMUKWIQW37BO,Sst interneuron,44.84,0.539999932
1HEYEW7GMUKWIQW37BO,Sst interneuron,56.8825,0.375
1HEYEW7GMUKWIQW37BO,Sst interneuron,69.91333333,0.185483865
1HEYEW7GMUKWIQW37BO,Sst interneuron,99.64,0.075700932
1HEYEW7GMUKWIQW37BO,Vip interneuron,132.1,0.10517241
1HEYEW7GMUKWIQW37BO,Vip interneuron,34.58444444,0.346428571
1HEYEW7GMUKWIQW37BO,Sst interneuron,64.57,0.231249975
1HEYEW7GMUKWIQW37BO,Vip interneuron,16.67,0.063800903
1HEYEW7GMUKWIQW37BO,Vip interneuron,67.51692308,0.25
1HEYEW7GMUKWIQW37BO,Sst interneuron,55.955,0.363225798
1HEYEW7GMUKWIQW37BO,Sst interneuron,48.29473684,0.47500002
1HEYEW7GMUKWIQW37BO,Sst interneuron,36.715,0.077941174
1HEYEW7GMUKWIQW37BO,Vip interneuron,263.1466667,0.12
1HEYEW7GMUKWIQW37BO,Vip interneuron,102.5675,0.030714286
1HEYEW7GMUKWIQW37BO,Sst interneuron,69.60181818,0.285
1HEYEW7GMUKWIQW37BO,Sst interneuron,49.34666667,0.088793094
1HEYEW7GMUKWIQW37BO,Sst interneuron,26.63,0.155803568
1HEYEW7GMUKWIQW37BO,Sst interneuron,72.60333333,0.324999993
1HEYEW7GMUKWIQW37BO,Sst interneuron,37.368,0.239285733
1HEYEW7GMUKWIQW37BO,Vip interneuron,59.70875,0.284337335
1HEYEW7GMUKWIQW37BO,Sst interneuron,8.98,0.062445422
1HEYEW7GMUKWIQW37BO,Sst interneuron,57.38,0.367857179
1HEYEW7GMUKWIQW37BO,Sst interneuron,51.17428571,0.169543144
1HEYEW7GMUKWIQW37BO,Sst interneuron,39.77166667,0.383152171
1HEYEW7GMUKWIQW37BO,Sst interneuron,44.36,0.285000015
1HEYEW7GMUKWIQW37BO,Vip interneuron,139.9142857,0.164999995
1HEYEW7GMUKWIQW37BO,Sst interneuron,66.25,0.2714286
1HEYEW7GMUKWIQW37BO,Vip interneuron,36.6944,0.586577168
1HEYEW7GMUKWIQW37BO,Vip interneuron,49.86833333,0.276428571
1HEYEW7GMUKWIQW37BO,Sst interneuron,26.56,0.035000001
1HEYEW7GMUKWIQW37BO,Vip interneuron,181.528,0.046103896
1HEYEW7GMUKWIQW37BO,Sst interneuron,47.84666667,0.148529418
1HEYEW7GMUKWIQW37BO,Sst interneuron,67.62307692,0.280000019
1HEYEW7GMUKWIQW37BO,Sst interneuron,134.1428571,0.415000034
1HEYEW7GMUKWIQW37BO,Vip interneuron,32.35333333,0.09
1HEYEW7GMUKWIQW37BO,Sst interneuron,30.31538462,0.223529343
1HEYEW7GMUKWIQW37BO,Sst interneuron,29.4,0.02
1HEYEW7GMUKWIQW37BO,Vip interneuron,202.04,0.1
1HEYEW7GMUKWIQW37BO,Vip interneuron,152.5,0.318421053
1HEYEW7GMUKWIQW37BO,Vip interneuron,99.02571429,0.185000007
1HEYEW7GMUKWIQW37BO,Sst interneuron,61.124,0.330172406
1HEYEW7GMUKWIQW37BO,Vip interneuron,37.16923077,0.244343066
1HEYEW7GMUKWIQW37BO,Sst interneuron,33.53928571,0.521052632
1HEYEW7GMUKWIQW37BO,Sst interneuron,46.103,0.460000016
1HEYEW7GMUKWIQW37BO,Sst interneuron,47.96,0.14783237
1HEYEW7GMUKWIQW37BO,Sst interneuron,50.17333333,0.460000004
1HEYEW7GMUKWIQW37BO,Sst interneuron,55.2825,0.414999986
